condition_id,dataset,task,layout_id,data_size,primary_metric,primary_value,secondary_metric,secondary_value
2a,parihaka,channel facies classification,layout_001,large,test_channel_iou,0.48911207378209537,test_channel_f1,0.65691774634508548
2a,parihaka,channel facies classification,layout_002,small,test_channel_iou,0.28273330082650178,test_channel_f1,0.44082943920506096
2a,parihaka,channel facies classification,layout_002,medium,test_channel_iou,0.36581166564991324,test_channel_f1,0.53566926517038349
2a,parihaka,channel facies classification,layout_002,large,test_channel_iou,0.45921451557871229,test_channel_f1,0.62939959913514376
2a,parihaka,channel facies classification,layout_003,small,test_channel_iou,0.15657671804620027,test_channel_f1,0.27075889667000141
2a,parihaka,channel facies classification,layout_003,medium,test_channel_iou,0.36816283590979071,test_channel_f1,0.53818569872930733
2a,parihaka,channel facies classification,layout_003,large,test_channel_iou,0.41739769392483561,test_channel_f1,0.58896341614475656
2a,parihaka,channel facies classification,layout_004,small,test_channel_iou,0.30327509760466204,test_channel_f1,0.46540457676520125
2a,parihaka,channel facies classification,layout_004,medium,test_channel_iou,0.41750343912122467,test_channel_f1,0.58906867891629833
2a,parihaka,channel facies classification,layout_004,large,test_channel_iou,0.46074581048426017,test_channel_f1,0.63083639491187815
2b,parihaka,channel facies classification,layout_000,small,test_channel_iou,0.19314846008147754,test_channel_f1,0.32376266079794941
2b,parihaka,channel facies classification,layout_000,medium,test_channel_iou,0.34335709484740035,test_channel_f1,0.51119258782997568
2b,parihaka,channel facies classification,layout_000,large,test_channel_iou,0.43214996391858529,test_channel_f1,0.60349820173322588
2b,parihaka,channel facies classification,layout_001,small,test_channel_iou,0.36450132397845808,test_channel_f1,0.53426305650724693
2b,parihaka,channel facies classification,layout_001,medium,test_channel_iou,0.3847175951212124,test_channel_f1,0.55566217469423551
2b,parihaka,channel facies classification,layout_001,large,test_channel_iou,0.43137858585628902,test_channel_f1,0.60274561897015777
2b,parihaka,channel facies classification,layout_002,small,test_channel_iou,0.2860163582873908,test_channel_f1,0.44480982911956662
2b,parihaka,channel facies classification,layout_002,medium,test_channel_iou,0.35196903906599641,test_channel_f1,0.52067618250955383
2b,parihaka,channel facies classification,layout_002,large,test_channel_iou,0.48678365396220041,test_channel_f1,0.65481437418947608
2b,parihaka,channel facies classification,layout_003,small,test_channel_iou,0.19232811437826575,test_channel_f1,0.32260937582362453
2b,parihaka,channel facies classification,layout_003,medium,test_channel_iou,0.34264272091488712,test_channel_f1,0.51040044470119006
2b,parihaka,channel facies classification,layout_003,large,test_channel_iou,0.46409931260036785,test_channel_f1,0.6339724479155544
2b,parihaka,channel facies classification,layout_004,small,test_channel_iou,0.30611722530541785,test_channel_f1,0.46874387593171274
2b,parihaka,channel facies classification,layout_004,medium,test_channel_iou,0.41542817983697206,test_channel_f1,0.58700001279446168
2b,parihaka,channel facies classification,layout_004,large,test_channel_iou,0.47576556435922163,test_channel_f1,0.64477119652239523
3,parihaka,channel facies classification,layout_000,small,test_channel_iou,0.10032776248506767,test_channel_f1,0.18235977661506872
3,parihaka,channel facies classification,layout_000,medium,test_channel_iou,0.12459707155120679,test_channel_f1,0.22158526765385314
3,parihaka,channel facies classification,layout_000,large,test_channel_iou,0.2179110284580304,test_channel_f1,0.35784392023105766
3,parihaka,channel facies classification,layout_001,small,test_channel_iou,0.091857315106709941,test_channel_f1,0.16825882619604465
3,parihaka,channel facies classification,layout_001,medium,test_channel_iou,0.14278368416977211,test_channel_f1,0.24988750915446239
3,parihaka,channel facies classification,layout_001,large,test_channel_iou,0.2104834917526883,test_channel_f1,0.34776763695954938
3,parihaka,channel facies classification,layout_002,small,test_channel_iou,0.14375480830164991,test_channel_f1,0.25137347140880656
3,parihaka,channel facies classification,layout_002,medium,test_channel_iou,0.17039612319358066,test_channel_f1,0.29117684144173733
3,parihaka,channel facies classification,layout_002,large,test_channel_iou,0.20463041043132418,test_channel_f1,0.33973973869388735
3,parihaka,channel facies classification,layout_003,small,test_channel_iou,0.077220558085084198,test_channel_f1,0.14337000441646777
3,parihaka,channel facies classification,layout_003,medium,test_channel_iou,0.13935708116702716,test_channel_f1,0.24462406645032778
3,parihaka,channel facies classification,layout_003,large,test_channel_iou,0.22593450298710369,test_channel_f1,0.36859147440029333
3,parihaka,channel facies classification,layout_004,small,test_channel_iou,0.090201113867396557,test_channel_f1,0.16547609926285198
3,parihaka,channel facies classification,layout_004,medium,test_channel_iou,0.15161740948571825,test_channel_f1,0.26331211778645575
3,parihaka,channel facies classification,layout_004,large,test_channel_iou,0.22674703469681853,test_channel_f1,0.36967203226679474
4a,parihaka,channel facies classification,layout_000,small,test_channel_iou,0.10355444851909118,test_channel_f1,0.18767438010522364
4a,parihaka,channel facies classification,layout_000,medium,test_channel_iou,0.12196005566528238,test_channel_f1,0.21740534353152957
4a,parihaka,channel facies classification,layout_000,large,test_channel_iou,0.2134123959947864,test_channel_f1,0.35175575377211388
4a,parihaka,channel facies classification,layout_001,small,test_channel_iou,0.076377996332151282,test_channel_f1,0.14191668092884793
4a,parihaka,channel facies classification,layout_001,medium,test_channel_iou,0.16555799740162677,test_channel_f1,0.28408367111839045
4a,parihaka,channel facies classification,layout_001,large,test_channel_iou,0.24581840478281247,test_channel_f1,0.39462959262616898
4a,parihaka,channel facies classification,layout_002,small,test_channel_iou,0.14199371178117967,test_channel_f1,0.24867687153847912
4a,parihaka,channel facies classification,layout_002,medium,test_channel_iou,0.17659194914912388,test_channel_f1,0.30017534843210492
4a,parihaka,channel facies classification,layout_002,large,test_channel_iou,0.21557145183974896,test_channel_f1,0.35468330802518411
4a,parihaka,channel facies classification,layout_003,small,test_channel_iou,0.087757589325472743,test_channel_f1,0.16135504856351668
4a,parihaka,channel facies classification,layout_003,medium,test_channel_iou,0.14944081229129844,test_channel_f1,0.26002350132914231
4a,parihaka,channel facies classification,layout_003,large,test_channel_iou,0.25254747184645704,test_channel_f1,0.40325413211550593
4a,parihaka,channel facies classification,layout_004,small,test_channel_iou,0.1047933268313653,test_channel_f1,0.18970666148377427
4a,parihaka,channel facies classification,layout_004,medium,test_channel_iou,0.17187332259796029,test_channel_f1,0.29333089043605715
